address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2590 Hampton Ave,Allison Park,PA,15101,59000,NA,2.0,1.0,3.0,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/2590-Hampton-Ave-Allison-Park-PA-15101/11561072_zpid/
3079 Henrich Farm Ln,Allison Park,PA,15101,529000,3000.0,4.0,3.0,4.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3079-Henrich-Farm-Ln-Allison-Park-PA-15101/11621466_zpid/
1807 Oakhurst Ct,Allison Park,PA,15101,458500,3108.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1807-Oakhurst-Ct-Allison-Park-PA-15101/11591086_zpid/
1930 Sample Rd,Allison Park,PA,15101,315000,NA,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-Sample-Rd-Allison-Park-PA-15101/11618833_zpid/
4145 Surrey Dr,Allison Park,PA,15101,235000,NA,3.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4145-Surrey-Dr-Allison-Park-PA-15101/11591889_zpid/
3006 Whispering Creek Dr,Allison Park,PA,15101,974900,4900.0,5.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3006-Whispering-Creek-Dr-Allison-Park-PA-15101/87994479_zpid/
4666 Greenwood Dr,Allison Park,PA,15101,299900,1763.0,3.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4666-Greenwood-Dr-Allison-Park-PA-15101/11258942_zpid/
Cedar Ridge Rd,Allison Park,PA,15101,NA,1896.0,4.0,2.5,18,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128925434_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Parkview Dr,Allison Park,PA,15101,NA,1594.0,3.0,2.0,18,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128926789_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2706 Sapling St,Allison Park,PA,15101,264900,NA,4.0,3.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2706-Sapling-St-Allison-Park-PA-15101/2094675561_zpid/
1421 Lakeside Dr,Allison Park,PA,15101,219900,1868.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1421-Lakeside-Dr-Allison-Park-PA-15101/11526908_zpid/
4172 La Tache Ct,Allison Park,PA,15101,459000,2200.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4172-La-Tache-Ct-Allison-Park-PA-15101/54908918_zpid/
X Mount Royal Blvd,Hampton,PA,15101,24900,NA,NA,NA,17,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/X-Mount-Royal-Blvd-Hampton-PA-15101/2094687450_zpid/
3884 Dolphin Dr,Allison Park,PA,15101,319900,NA,4.0,3.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3884-Dolphin-Dr-Allison-Park-PA-15101/11559699_zpid/
711 Mica Dr,Allison Park,PA,15101,309000,NA,5.0,5.0,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/711-Mica-Dr-Allison-Park-PA-15101/11527454_zpid/
2866 Tremonte Ln,Allison Park,PA,15101,419900,2800.0,4.0,3.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2866-Tremonte-Ln-Allison-Park-PA-15101/11621381_zpid/
4996 Meadow Crest Dr,Allison Park,PA,15101,329900,NA,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4996-Meadow-Crest-Dr-Allison-Park-PA-15101/11276977_zpid/
4524 Middle Rd,Allison Park,PA,15101,1350000,8072.0,4.0,7.0,63,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/4524-Middle-Rd-Allison-Park-PA-15101/11646384_zpid/
9404 Peebles Rd,Allison Park,PA,15101,167900,1174.0,3.0,2.0,32,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9404-Peebles-Rd-Allison-Park-PA-15101/11618693_zpid/
3960 Kirk Ave,Allison Park,PA,15101,174900,1876.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3960-Kirk-Ave-Allison-Park-PA-15101/11592080_zpid/
2859 Grandview Dr,Allison Park,PA,15101,163000,NA,3.0,1.0,637,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2859-Grandview-Dr-Allison-Park-PA-15101/11276427_zpid/
609 Flint Rd,Allison Park,PA,15101,155000,1835.0,3.0,2.0,84,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/609-Flint-Rd-Allison-Park-PA-15101/11486894_zpid/
401 Laurel Hill Rd,Allison Park,PA,15101,255000,2337.0,4.0,3.0,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/401-Laurel-Hill-Rd-Allison-Park-PA-15101/11561193_zpid/
214 Elfinwild Rd,Allison Park,PA,15101,144900,NA,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/214-Elfinwild-Rd-Allison-Park-PA-15101/11561178_zpid/
Branding Pl,Allison Park,PA,15101,NA,1855.0,2.0,2.0,15,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128863880_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Mcalister Farm Ln,Allison Park,PA,15101,NA,5180.0,4.0,5.0,227,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126917177_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Summit Dr,Allison Park,PA,15101,297000,2700.0,4.0,2.5,381,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/122337543_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3750 Pitner Dr,Allison Park,PA,15101,195000,NA,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3750-Pitner-Dr-Allison-Park-PA-15101/11561202_zpid/
4065 Lee Manor Dr,Allison Park,PA,15101,169000,NA,2.0,1.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4065-Lee-Manor-Dr-Allison-Park-PA-15101/11592993_zpid/
Middle Rd,Allison Park,PA,15101,424000,2632.0,5.0,2.5,501,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124885243_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Ash Dr,Allison Park,PA,15101,NA,3622.0,5.0,2.5,161,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/127101687_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Meadow Rd,Allison Park,PA,15101,NA,1830.0,4.0,3.0,256,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126882645_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Cottingham Dr,Allison Park,PA,15101,189900,NA,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/301-Cottingham-Dr-Allison-Park-PA-15101/2100200494_zpid/
Tremonte Ln,Allison Park,PA,15101,301000,2418.0,4.0,1.5,165,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/119873033_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8824 Maple St,Allison Park,PA,15101,296000,2251.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8824-Maple-St-Allison-Park-PA-15101/11590659_zpid/
9807 Sumner Dr,Allison Park,PA,15101,1129000,NA,4.0,5.0,99,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9807-Sumner-Dr-Allison-Park-PA-15101/2098155606_zpid/
2624 Lynnhaven Dr,Allison Park,PA,15101,179000,NA,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2624-Lynnhaven-Dr-Allison-Park-PA-15101/11621278_zpid/
Bluestone Dr,Allison Park,PA,15101,NA,1696.0,3.0,1.5,49,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128805585_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3949 Grand Ave,Allison Park,PA,15101,174900,1894.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3949-Grand-Ave-Allison-Park-PA-15101/11592105_zpid/
Bayfield Rd,Allison Park,PA,15101,176000,1446.0,3.0,1.5,630,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/123986334_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Branding Pl,Allison Park,PA,15101,NA,1192.0,3.0,1.5,228,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126912634_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Arden Dr,Allison Park,PA,15101,174000,1297.0,3.0,1.5,630,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/123986443_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4070 Mount Royal Blvd,Allison Park,PA,15101,225000,1896.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4070-Mount-Royal-Blvd-Allison-Park-PA-15101/11591918_zpid/
4806 Middle Rd,Hampton,PA,15101,995000,NA,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4806-Middle-Rd-Hampton-PA-15101/2107467113_zpid/
4371 Kilbert Dr,Allison Park,PA,15101,259900,NA,5.0,2.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4371-Kilbert-Dr-Allison-Park-PA-15101/11621420_zpid/
Kilbert Dr,Allison Park,PA,15101,257000,2240.0,5.0,2.5,435,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125442769_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3289 Long Meadow Dr,Allison Park,PA,15101,579000,3506.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3289-Long-Meadow-Dr-Allison-Park-PA-15101/92380782_zpid/
9810 Three Degree Rd,Allison Park,PA,15101,207500,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9810-Three-Degree-Rd-Allison-Park-PA-15101/11644106_zpid/
2430 Hampton Ave,Allison Park,PA,15101,29000,NA,NA,NA,256,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2430-Hampton-Ave-Allison-Park-PA-15101/11560631_zpid/
Hemlock Cir,Allison Park,PA,15101,125000,1320.0,2.0,1.5,256,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/123507677_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
8373 Knollwood Dr,Allison Park,PA,15101,314900,2072.0,4.0,3.0,32,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8373-Knollwood-Dr-Allison-Park-PA-15101/11559906_zpid/
Burchfield Rd,Allison Park,PA,15101,NA,1118.0,3.0,1.5,256,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126882667_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1800 Foxcroft Ln APT 1003,Allison Park,PA,15101,179900,NA,2.0,2.0,65,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1800-Foxcroft-Ln-APT-1003-Allison-Park-PA-15101/11591337_zpid/
Franklynn Dr,Allison Park,PA,15101,NA,1000.0,3.0,1.5,319,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126330015_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Royal Ct,Allison Park,PA,15101,152000,1040.0,3.0,1.5,409,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125772099_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3620 Cedar Ridge Rd,Allison Park,PA,15101,269900,2093.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3620-Cedar-Ridge-Rd-Allison-Park-PA-15101/64759079_zpid/
2825 Mcneal Rd,Allison Park,PA,15101,199900,NA,0,NA,455,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2825-Mcneal-Rd-Allison-Park-PA-15101/11276413_zpid/
4523 Bucktail Dr,Allison Park,PA,15101,215000,1292.0,2.0,3.0,56,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4523-Bucktail-Dr-Allison-Park-PA-15101/87992769_zpid/
2968 Woodland Ct,Allison Park,PA,15101,599000,NA,4.0,4.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2968-Woodland-Ct-Allison-Park-PA-15101/2132060227_zpid/
4769 Route 910 (Gibsonia Rd),West Deer,PA,15101,3500000,NA,NA,NA,502,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4769-Route-910-(Gibsonia-Rd)-West-Deer-PA-15101/2100287819_zpid/
Hardt And S Montour,Hampton,PA,15101,99900,NA,0,NA,53,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Hardt-And-S-Montour-Hampton-PA-15101/2095085308_zpid/
4396 Middle Rd,Allison Park,PA,15101,799000,5450.0,6.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4396-Middle-Rd-Allison-Park-PA-15101/11646414_zpid/
4315 Beauland Dr,Allison Park,PA,15101,239900,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4315-Beauland-Dr-Allison-Park-PA-15101/11621426_zpid/
Sumner Dr,McCandless,PA,15101,1250000,NA,5.0,5.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/Sumner-Dr-Mccandless-PA-15101/2100113751_zpid/
3281 Long Meadow Dr # 58,Allison Park,PA,15101,799000,NA,5.0,5.0,258,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3281-Long-Meadow-Dr-58-Allison-Park-PA-15101/2097532967_zpid/
Harts Run Rd,Allison Park,PA,15101,NA,1496.0,3.0,1.5,227,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126912635_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Lot Wildwood Rd,Hampton,PA,15101,55000,NA,NA,NA,256,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Lot-Wildwood-Rd-Hampton-PA-15101/2097504567_zpid/
1277 Ridgewood Dr,Allison Park,PA,15101,299000,NA,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1277-Ridgewood-Dr-Allison-Park-PA-15101/11644220_zpid/
3292 Long Meadow Dr # 5,Allison Park,PA,15101,620000,NA,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3292-Long-Meadow-Dr-5-Allison-Park-PA-15101/2096111847_zpid/
4226 Timberlane Dr,Allison Park,PA,15101,349900,2620.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4226-Timberlane-Dr-Allison-Park-PA-15101/11619281_zpid/
9695 Babcock Blvd,Allison Park,PA,15101,289000,NA,4.0,2.0,111,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9695-Babcock-Blvd-Allison-Park-PA-15101/11644181_zpid/
4067 Jupiter Dr,Allison Park,PA,15101,420000,NA,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4067-Jupiter-Dr-Allison-Park-PA-15101/119344504_zpid/
4176 La Tache Ct,Allison Park,PA,15101,79900,NA,0,NA,600,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4176-La-Tache-Ct-Allison-Park-PA-15101/2101227556_zpid/
Sumner Dr LOT 15,McCandless,PA,15101,1250000,NA,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/Sumner-Dr-LOT-15-Mccandless-PA-15101/2111212541_zpid/
3282 Long Meadow Dr # 10,Allison Park,PA,15101,620000,NA,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3282-Long-Meadow-Dr-10-Allison-Park-PA-15101/2101313085_zpid/
1491 Jameson Ct,Allison Park,PA,15101,430000,NA,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1491-Jameson-Ct-Allison-Park-PA-15101/121887629_zpid/
4286 Old New England Rd,Allison Park,PA,15101,649000,2823.0,4.0,3.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4286-Old-New-England-Rd-Allison-Park-PA-15101/11621474_zpid/
Whispering Crk LOT 19,Allison Park,PA,15101,150000,NA,NA,NA,149,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Whispering-Crk-LOT-19-Allison-Park-PA-15101/2097941222_zpid/
Whispering Crk LOT 19,Hampton,PA,15101,150000,NA,NA,NA,54,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Whispering-Crk-LOT-19-Hampton-PA-15101/2111183105_zpid/
4284 Lampl Rd,Allison Park,PA,15101,1195000,6043.0,7.0,10.0,239,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4284-Lampl-Rd-Allison-Park-PA-15101/11621608_zpid/
4042 Jupiter Dr,Allison Park,PA,15101,530000,3583.0,4.0,5.0,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4042-Jupiter-Dr-Allison-Park-PA-15101/11593072_zpid/
3914 Shadowood Ct,Allison Park,PA,15101,669000,NA,4.0,6.0,76,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3914-Shadowood-Ct-Allison-Park-PA-15101/11593160_zpid/
3138 Henrich Farm Ln,Allison Park,PA,15101,649000,NA,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3138-Henrich-Farm-Ln-Allison-Park-PA-15101/11621482_zpid/
4560 Dogwood Dr,Allison Park,PA,15101,729000,NA,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4560-Dogwood-Dr-Allison-Park-PA-15101/11646359_zpid/
2567 Harlo Dr,Allison Park,PA,15101,534900,2962.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2567-Harlo-Dr-Allison-Park-PA-15101/116179534_zpid/
3217 Hampton Oaks Dr,Allison Park,PA,15101,549900,2763.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3217-Hampton-Oaks-Dr-Allison-Park-PA-15101/11259351_zpid/
Hampton Oaks Dr,Allison Park,PA,15101,391000,2842.0,4.0,2.5,319,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116729215_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2215 Linwood Drive,Hampton,PA,15101,23900,NA,NA,NA,458,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2215-Linwood-Drive-Hampton-PA-15101/2099908966_zpid/
4657 Wellworth Ct,Allison Park,PA,15101,1399000,5522.0,4.0,5.0,47,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4657-Wellworth-Ct-Allison-Park-PA-15101/92380685_zpid/
3161 Canterbury Dr,Allison Park,PA,15101,699900,NA,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3161-Canterbury-Dr-Allison-Park-PA-15101/11621658_zpid/
2974 Woodland Ct,Allison Park,PA,15101,575000,NA,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2974-Woodland-Ct-Allison-Park-PA-15101/104363064_zpid/
9700 Foxgrove Ln,Allison Park,PA,15101,924900,4400.0,5.0,5.0,76,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9700-Foxgrove-Ln-Allison-Park-PA-15101/87989423_zpid/
9808 Sumner Dr,Allison Park,PA,15101,96500,NA,NA,NA,177,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9808-Sumner-Dr-Allison-Park-PA-15101/2096532936_zpid/
0 Cedar Rdg,West Deer,PA,15101,99900,NA,NA,NA,145,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Cedar-Rdg-West-Deer-PA-15101/2096176471_zpid/
Mccully Rd,Hampton,PA,15101,149900,NA,NA,NA,301,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Mccully-Rd-Hampton-PA-15101/2098083847_zpid/
9804 Sumner Dr,Allison Park,PA,15101,96500,NA,NA,NA,177,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9804-Sumner-Dr-Allison-Park-PA-15101/2096532934_zpid/
9800 Sumner Dr,Allison Park,PA,15101,81500,NA,NA,NA,177,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9800-Sumner-Dr-Allison-Park-PA-15101/2096532933_zpid/
9806 Sumner Dr,Allison Park,PA,15101,96500,NA,NA,NA,177,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/9806-Sumner-Dr-Allison-Park-PA-15101/2096532935_zpid/
3271 Mccully Rd,Allison Park,PA,15101,1125000,5600.0,4.0,6.0,101,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3271-Mccully-Rd-Allison-Park-PA-15101/11646398_zpid/
4466 Middle Rd,Allison Park,PA,15101,799900,NA,6.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4466-Middle-Rd-Allison-Park-PA-15101/11646399_zpid/
0000 Birchwood Ln,Hampton,PA,15101,49000,NA,NA,NA,328,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0000-Birchwood-Ln-Hampton-PA-15101/2098398303_zpid/
4206 Woodwind Ln,Allison Park,PA,15101,130000,NA,NA,NA,306,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4206-Woodwind-Ln-Allison-Park-PA-15101/2098122700_zpid/
4212 Woodwind Ln LOT 103 R,Allison Park,PA,15101,150000,NA,NA,NA,279,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4212-Woodwind-Ln-LOT-103-R-Allison-Park-PA-15101/2097790180_zpid/
4231 Woodwind Ln,Allison Park,PA,15101,130000,NA,NA,NA,279,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4231-Woodwind-Ln-Allison-Park-PA-15101/2097790179_zpid/
4236 Woodwind Ln,Allison Park,PA,15101,150000,NA,NA,NA,279,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4236-Woodwind-Ln-Allison-Park-PA-15101/2097790181_zpid/
4237 Woodwind Ln,Allison Park,PA,15101,135000,NA,NA,NA,280,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4237-Woodwind-Ln-Allison-Park-PA-15101/2097814046_zpid/
4248 Woodwind Ln,Allison Park,PA,15101,150000,NA,NA,NA,280,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4248-Woodwind-Ln-Allison-Park-PA-15101/2097814043_zpid/
1204 Timberidge Dr,Bethel Park,PA,15102,127500,NA,2.0,2.0,12,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1204-Timberidge-Dr-Bethel-Park-PA-15102/11638287_zpid/
5679 Valleyview Dr,Bethel Park,PA,15102,149900,1212.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5679-Valleyview-Dr-Bethel-Park-PA-15102/11578672_zpid/
185 Stonewood Dr,Bethel Park,PA,15102,279900,NA,4.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/185-Stonewood-Dr-Bethel-Park-PA-15102/11608943_zpid/
1147 Grandview Dr,Bethel Park,PA,15102,190000,NA,3.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1147-Grandview-Dr-Bethel-Park-PA-15102/11579478_zpid/
5977 Boyer Ave,Bethel Park,PA,15102,189900,1750.0,4.0,3.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5977-Boyer-Ave-Bethel-Park-PA-15102/11607218_zpid/
961 Logan Rd,Bethel Park,PA,15102,98000,NA,2.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/961-Logan-Rd-Bethel-Park-PA-15102/11548279_zpid/
1206 Cobblewood Dr,Bethel Park,PA,15102,159900,NA,3.0,2.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1206-Cobblewood-Dr-Bethel-Park-PA-15102/11579227_zpid/
6049 Irishtown Rd,Bethel Park,PA,15102,169900,NA,3.0,3.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6049-Irishtown-Rd-Bethel-Park-PA-15102/11607954_zpid/
5374 Library Rd,Bethel Park,PA,15102,129900,NA,4.0,3.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5374-Library-Rd-Bethel-Park-PA-15102/11508888_zpid/
5539 Glen Hill Dr,Bethel Park,PA,15102,250000,1900.0,4.0,3.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5539-Glen-Hill-Dr-Bethel-Park-PA-15102/11579867_zpid/
5128 Orchard Ave,Bethel Park,PA,15102,279900,1998.0,4.0,3.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5128-Orchard-Ave-Bethel-Park-PA-15102/11509185_zpid/
756 Rolling Green Dr,Bethel Park,PA,15102,204900,NA,3.0,2.5,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/756-Rolling-Green-Dr-Bethel-Park-PA-15102/11508662_zpid/
163 Meadowbrook Dr,Bethel Park,PA,15102,119000,NA,2.0,1.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/163-Meadowbrook-Dr-Bethel-Park-PA-15102/11471563_zpid/
6165 Boxer Dr,Bethel Park,PA,15102,289900,NA,4.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6165-Boxer-Dr-Bethel-Park-PA-15102/11608304_zpid/
3265 Sunnyside Rd,Bethel Park,PA,15102,248500,NA,3.0,2.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3265-Sunnyside-Rd-Bethel-Park-PA-15102/59837689_zpid/
2318 Longcrest Ave,Bethel Park,PA,15102,134900,NA,2.0,1.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2318-Longcrest-Ave-Bethel-Park-PA-15102/11432320_zpid/
6020 Boxer Dr,Bethel Park,PA,15102,349900,NA,4.0,4.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6020-Boxer-Dr-Bethel-Park-PA-15102/11607918_zpid/
6200 Mountain Ave,Bethel Park,PA,15102,229000,1830.0,3.0,3.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6200-Mountain-Ave-Bethel-Park-PA-15102/11639217_zpid/
55 Highland Rd APT 102,Bethel Park,PA,15102,129000,1017.0,2.0,2.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Highland-Rd-APT-102-Bethel-Park-PA-15102/11431992_zpid/
