address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2338 Parklyn St,Pittsburgh,PA,15234,98000,NA,3.0,1.0,50,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2338-Parklyn-St-Pittsburgh-PA-15234/11306591_zpid/
797A Cooke Dr,Castle Shannon,PA,15234,121000,NA,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/797A-Cooke-Dr-Castle-Shannon-PA-15234/2095150463_zpid/
2410 Morton St,Pittsburgh,PA,15234,67500,NA,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2410-Morton-St-Pittsburgh-PA-15234/11306628_zpid/
Arlington Park,Pittsburgh,PA,15234,NA,1398.0,3.0,1.0,130,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128579073_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Groveland St,Pittsburgh,PA,15234,NA,1250.0,3.0,1.5,46,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128863902_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Columbia Dr,Castle Shannon,PA,15234,NA,936.0,3.0,1.5,46,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128863777_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
923 Baldwin St,Pittsburgh,PA,15234,135000,1557.0,3.0,1.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/923-Baldwin-St-Pittsburgh-PA-15234/11395613_zpid/
Lyndell St,Pittsburgh,PA,15234,NA,893.0,2.0,1.0,49,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128805537_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Saint Anne St,Pittsburgh,PA,15234,NA,960.0,3.0,1.5,130,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128579080_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
322 Pinecastle Ave,Pittsburgh,PA,15234,97000,1281.0,3.0,1.0,104,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/322-Pinecastle-Ave-Pittsburgh-PA-15234/11306848_zpid/
May St,Pittsburgh,PA,15234,NA,1404.0,3.0,1.5,71,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128623563_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
